Sl No,Timestamp,Day of Week,Weekday/Weekend,Weather,Festival/Holiday,Calamities,Road Construction,Traffic Density,Time Delay (min),Vehicle Density (veh/km)
1487,2025-10-16 11:30,Thursday,Weekday,Sunny,None,None,None,Medium,9,60
1488,2025-10-16 11:45,Thursday,Weekday,Clear,None,None,None,Low,2,31
1489,2025-10-16 12:00,Thursday,Weekday,Light Rain,None,None,None,Low,4,33
1490,2025-10-16 12:15,Thursday,Weekday,Rainy,None,None,None,Low,0,37
1491,2025-10-16 12:30,Thursday,Weekday,Light Rain,None,None,None,Medium,10,59
1492,2025-10-16 12:45,Thursday,Weekday,Light Rain,None,None,None,Medium,8,62
1493,2025-10-16 13:00,Thursday,Weekday,Clear,None,None,None,Medium,5,63
1494,2025-10-16 13:15,Thursday,Weekday,Light Rain,None,None,None,Medium,7,67
1495,2025-10-16 13:30,Thursday,Weekday,Cloudy,None,None,None,Medium,10,50
1496,2025-10-16 13:45,Thursday,Weekday,Rainy,None,None,None,Medium,9,51
1497,2025-10-16 14:00,Thursday,Weekday,Light Rain,None,None,None,Medium,5,69
1498,2025-10-16 14:15,Thursday,Weekday,Clear,None,None,None,Medium,10,58
1499,2025-10-16 14:30,Thursday,Weekday,Rainy,None,None,None,Low,5,30
1500,2025-10-16 14:45,Thursday,Weekday,Rainy,None,None,None,Medium,7,47
1501,2025-10-16 15:00,Thursday,Weekday,Light Rain,None,None,None,Low,0,40
1502,2025-10-16 15:15,Thursday,Weekday,Clear,None,None,None,Medium,9,45
1503,2025-10-16 15:30,Thursday,Weekday,Cloudy,None,None,None,Low,5,28
1504,2025-10-16 15:45,Thursday,Weekday,Cloudy,None,None,None,Low,4,40
1505,2025-10-16 16:00,Thursday,Weekday,Clear,None,None,None,Low,5,37
1506,2025-10-16 16:15,Thursday,Weekday,Clear,None,None,None,Medium,8,57
1507,2025-10-16 16:30,Thursday,Weekday,Light Rain,None,None,None,Low,4,40
1508,2025-10-16 16:45,Thursday,Weekday,Clear,None,None,None,Medium,7,42
1509,2025-10-16 17:00,Thursday,Weekday,Sunny,None,None,None,High,11,90
1510,2025-10-16 17:15,Thursday,Weekday,Clear,None,None,None,High,13,118
1511,2025-10-16 17:30,Thursday,Weekday,Sunny,None,None,None,Very High,25,154
1512,2025-10-16 17:45,Thursday,Weekday,Cloudy,None,None,None,High,15,93
1513,2025-10-16 18:00,Thursday,Weekday,Light Rain,None,None,None,Very High,33,190
1514,2025-10-16 18:15,Thursday,Weekday,Sunny,None,None,None,High,20,73
1515,2025-10-16 18:30,Thursday,Weekday,Clear,None,None,None,Very High,31,194
1516,2025-10-16 18:45,Thursday,Weekday,Light Rain,None,None,None,Very High,34,185
1517,2025-10-16 19:00,Thursday,Weekday,Clear,None,None,None,High,18,116
1518,2025-10-16 19:15,Thursday,Weekday,Light Rain,None,None,None,Very High,42,125
1519,2025-10-16 19:30,Thursday,Weekday,Sunny,None,None,None,Very High,41,196
1520,2025-10-16 19:45,Thursday,Weekday,Clear,None,None,None,High,12,117
1521,2025-10-16 20:00,Thursday,Weekday,Cloudy,None,None,None,High,20,101
1522,2025-10-16 20:15,Thursday,Weekday,Light Rain,None,None,None,Very High,45,161
1523,2025-10-16 20:30,Thursday,Weekday,Clear,None,None,None,Very High,35,191
1524,2025-10-16 20:45,Thursday,Weekday,Cloudy,None,None,None,Very High,38,131
1525,2025-10-16 21:00,Thursday,Weekday,Clear,None,None,None,Medium,8,67
1526,2025-10-16 21:15,Thursday,Weekday,Sunny,None,None,None,Low,0,31
1527,2025-10-16 21:30,Thursday,Weekday,Clear,None,None,None,Low,1,22
1528,2025-10-16 21:45,Thursday,Weekday,Clear,None,None,None,Medium,6,67
1529,2025-10-16 22:00,Thursday,Weekday,Light Rain,None,None,None,Low,1,23
1530,2025-10-16 22:15,Thursday,Weekday,Light Rain,None,None,None,Low,2,40
1531,2025-10-16 22:30,Thursday,Weekday,Light Rain,None,None,None,Medium,9,58
1532,2025-10-16 22:45,Thursday,Weekday,Clear,None,None,None,Low,5,33
1533,2025-10-16 23:00,Thursday,Weekday,Clear,None,None,None,Medium,10,61
1534,2025-10-16 23:15,Thursday,Weekday,Cloudy,None,None,None,Medium,6,63
1535,2025-10-16 23:30,Thursday,Weekday,Clear,None,None,None,Low,2,31
1536,2025-10-16 23:45,Thursday,Weekday,Cloudy,None,None,None,Medium,7,57
1537,2025-10-17 00:00,Friday,Weekday,Rainy,None,None,None,Medium,7,54
1538,2025-10-17 00:15,Friday,Weekday,Light Rain,None,None,None,Low,0,31
1539,2025-10-17 00:30,Friday,Weekday,Light Rain,None,None,None,Medium,7,61
1540,2025-10-17 00:45,Friday,Weekday,Rainy,None,None,None,Medium,7,44
1541,2025-10-17 01:00,Friday,Weekday,Light Rain,None,None,None,Medium,10,50
1542,2025-10-17 01:15,Friday,Weekday,Light Rain,None,None,None,Low,5,34
1543,2025-10-17 01:30,Friday,Weekday,Clear,None,None,None,Low,0,21
1544,2025-10-17 01:45,Friday,Weekday,Rainy,None,None,None,Medium,7,60
1545,2025-10-17 02:00,Friday,Weekday,Rainy,None,None,None,Low,0,24
1546,2025-10-17 02:15,Friday,Weekday,Cloudy,None,None,None,Low,1,25
1547,2025-10-17 02:30,Friday,Weekday,Cloudy,None,None,None,Low,4,28
1548,2025-10-17 02:45,Friday,Weekday,Cloudy,None,None,None,Low,4,22
1549,2025-10-17 03:00,Friday,Weekday,Clear,None,None,None,Medium,9,65
1550,2025-10-17 03:15,Friday,Weekday,Clear,None,None,None,Medium,9,44
1551,2025-10-17 03:30,Friday,Weekday,Clear,None,None,None,Medium,5,44
1552,2025-10-17 03:45,Friday,Weekday,Cloudy,None,None,None,Low,0,34
1553,2025-10-17 04:00,Friday,Weekday,Cloudy,None,None,None,Medium,9,58
1554,2025-10-17 04:15,Friday,Weekday,Light Rain,None,None,None,Medium,10,58
1555,2025-10-17 04:30,Friday,Weekday,Clear,None,None,None,Low,4,38
1556,2025-10-17 04:45,Friday,Weekday,Sunny,None,None,None,Medium,7,67
1557,2025-10-17 05:00,Friday,Weekday,Clear,None,None,None,Medium,9,58
1558,2025-10-17 05:15,Friday,Weekday,Light Rain,None,None,None,Low,3,40
1559,2025-10-17 05:30,Friday,Weekday,Light Rain,None,None,None,Medium,5,60
1560,2025-10-17 05:45,Friday,Weekday,Light Rain,None,None,None,Low,5,26
1561,2025-10-17 06:00,Friday,Weekday,Sunny,None,None,None,Low,5,25
1562,2025-10-17 06:15,Friday,Weekday,Clear,None,None,None,Low,0,27
1563,2025-10-17 06:30,Friday,Weekday,Clear,None,None,None,Medium,5,52
1564,2025-10-17 06:45,Friday,Weekday,Light Rain,None,None,None,Low,0,27
1565,2025-10-17 07:00,Friday,Weekday,Rainy,None,None,None,Low,5,28
1566,2025-10-17 07:15,Friday,Weekday,Clear,None,None,None,Medium,6,51
1567,2025-10-17 07:30,Friday,Weekday,Cloudy,None,None,None,Medium,10,46
1568,2025-10-17 07:45,Friday,Weekday,Cloudy,None,None,None,Medium,6,41
1569,2025-10-17 08:00,Friday,Weekday,Clear,None,None,None,High,18,109
1570,2025-10-17 08:15,Friday,Weekday,Clear,None,None,None,Very High,43,198
1571,2025-10-17 08:30,Friday,Weekday,Rainy,None,None,None,Very High,42,123
1572,2025-10-17 08:45,Friday,Weekday,Sunny,None,None,None,Very High,30,193
1573,2025-10-17 09:00,Friday,Weekday,Clear,None,None,None,High,18,79
1574,2025-10-17 09:15,Friday,Weekday,Light Rain,None,None,None,Very High,45,194
1575,2025-10-17 09:30,Friday,Weekday,Sunny,None,None,None,Very High,35,183
1576,2025-10-17 09:45,Friday,Weekday,Clear,None,None,None,High,14,84
1577,2025-10-17 10:00,Friday,Weekday,Clear,None,None,None,High,20,92
1578,2025-10-17 10:15,Friday,Weekday,Cloudy,None,None,None,High,17,90
1579,2025-10-17 10:30,Friday,Weekday,Light Rain,None,None,None,High,13,90
1580,2025-10-17 10:45,Friday,Weekday,Rainy,None,None,None,Very High,35,174
1581,2025-10-17 11:00,Friday,Weekday,Clear,None,None,None,Medium,6,41
1582,2025-10-17 11:15,Friday,Weekday,Light Rain,None,None,None,Low,3,30
1583,2025-10-17 11:30,Friday,Weekday,Light Rain,None,None,None,Low,4,20
1584,2025-10-17 11:45,Friday,Weekday,Light Rain,None,None,None,Medium,5,66
1585,2025-10-17 12:00,Friday,Weekday,Rainy,None,None,None,Low,3,23
1586,2025-10-17 12:15,Friday,Weekday,Rainy,None,None,None,Low,3,23
1587,2025-10-17 12:30,Friday,Weekday,Clear,None,None,None,Low,0,32
1588,2025-10-17 12:45,Friday,Weekday,Light Rain,None,None,None,Medium,5,49
1589,2025-10-17 13:00,Friday,Weekday,Clear,None,None,None,Low,5,35
1590,2025-10-17 13:15,Friday,Weekday,Sunny,None,None,None,Low,1,32
1591,2025-10-17 13:30,Friday,Weekday,Cloudy,None,None,None,Low,1,36
1592,2025-10-17 13:45,Friday,Weekday,Clear,None,None,None,Medium,7,44
1593,2025-10-17 14:00,Friday,Weekday,Clear,None,None,None,Low,2,31
1594,2025-10-17 14:15,Friday,Weekday,Light Rain,None,None,None,Low,1,39
1595,2025-10-17 14:30,Friday,Weekday,Clear,None,None,None,Medium,7,62
1596,2025-10-17 14:45,Friday,Weekday,Light Rain,None,None,None,Low,4,29
1597,2025-10-17 15:00,Friday,Weekday,Light Rain,None,None,None,Low,5,20
1598,2025-10-17 15:15,Friday,Weekday,Light Rain,None,None,None,Medium,8,52
1599,2025-10-17 15:30,Friday,Weekday,Light Rain,None,None,None,Low,0,27
1600,2025-10-17 15:45,Friday,Weekday,Sunny,None,None,None,Low,1,32
1601,2025-10-17 16:00,Friday,Weekday,Cloudy,None,None,None,Low,2,26
1602,2025-10-17 16:15,Friday,Weekday,Light Rain,None,None,None,Low,0,39
1603,2025-10-17 16:30,Friday,Weekday,Light Rain,None,None,None,Medium,5,50
1604,2025-10-17 16:45,Friday,Weekday,Cloudy,None,None,None,Low,4,28
1605,2025-10-17 17:00,Friday,Weekday,Rainy,None,None,None,Very High,44,177
1606,2025-10-17 17:15,Friday,Weekday,Light Rain,None,None,None,Very High,36,168
1607,2025-10-17 17:30,Friday,Weekday,Rainy,None,None,None,High,18,86
1608,2025-10-17 17:45,Friday,Weekday,Light Rain,None,None,None,High,16,81
1609,2025-10-17 18:00,Friday,Weekday,Clear,None,None,None,High,23,90
1610,2025-10-17 18:15,Friday,Weekday,Clear,None,None,None,High,17,118
1611,2025-10-17 18:30,Friday,Weekday,Light Rain,None,None,None,High,17,101
1612,2025-10-17 18:45,Friday,Weekday,Clear,None,None,None,High,19,70
1613,2025-10-17 19:00,Friday,Weekday,Light Rain,None,None,None,High,25,112
1614,2025-10-17 19:15,Friday,Weekday,Rainy,None,None,None,Very High,32,199
1615,2025-10-17 19:30,Friday,Weekday,Light Rain,None,None,None,Very High,44,182
1616,2025-10-17 19:45,Friday,Weekday,Light Rain,None,None,None,High,22,74
1617,2025-10-17 20:00,Friday,Weekday,Clear,None,None,None,High,21,88
1618,2025-10-17 20:15,Friday,Weekday,Clear,None,None,None,High,20,88
1619,2025-10-17 20:30,Friday,Weekday,Light Rain,None,None,None,Very High,36,157
1620,2025-10-17 20:45,Friday,Weekday,Sunny,None,None,None,Very High,45,162
1621,2025-10-17 21:00,Friday,Weekday,Cloudy,None,None,None,Low,4,25
1622,2025-10-17 21:15,Friday,Weekday,Sunny,None,None,None,Low,4,34
1623,2025-10-17 21:30,Friday,Weekday,Cloudy,None,None,None,Medium,6,61
1624,2025-10-17 21:45,Friday,Weekday,Cloudy,None,None,None,Low,3,28
1625,2025-10-17 22:00,Friday,Weekday,Clear,None,None,None,Low,5,36
1626,2025-10-17 22:15,Friday,Weekday,Clear,None,None,None,Low,1,39
1627,2025-10-17 22:30,Friday,Weekday,Clear,None,None,None,Medium,6,68
1628,2025-10-17 22:45,Friday,Weekday,Clear,None,None,None,Low,0,22
1629,2025-10-17 23:00,Friday,Weekday,Sunny,None,None,None,Low,3,27
1630,2025-10-17 23:15,Friday,Weekday,Clear,None,None,None,Medium,8,65
1631,2025-10-17 23:30,Friday,Weekday,Light Rain,None,None,None,Medium,7,67
1632,2025-10-17 23:45,Friday,Weekday,Light Rain,None,None,None,Medium,8,62
1633,2025-10-18 00:00,Saturday,Weekend,Clear,None,None,None,Low,0,25
1634,2025-10-18 00:15,Saturday,Weekend,Sunny,None,None,None,Medium,8,55
1635,2025-10-18 00:30,Saturday,Weekend,Sunny,None,None,None,Medium,7,43
1636,2025-10-18 00:45,Saturday,Weekend,Clear,None,None,None,Low,0,21
1637,2025-10-18 01:00,Saturday,Weekend,Cloudy,None,None,None,Medium,7,70
1638,2025-10-18 01:15,Saturday,Weekend,Clear,None,None,None,Medium,5,48
1639,2025-10-18 01:30,Saturday,Weekend,Clear,None,None,None,Low,4,31
1640,2025-10-18 01:45,Saturday,Weekend,Cloudy,None,None,None,Medium,9,64
1641,2025-10-18 02:00,Saturday,Weekend,Clear,None,None,None,Low,0,24
1642,2025-10-18 02:15,Saturday,Weekend,Light Rain,None,None,None,Low,4,31
1643,2025-10-18 02:30,Saturday,Weekend,Cloudy,None,None,None,Low,5,33
1644,2025-10-18 02:45,Saturday,Weekend,Light Rain,None,None,None,Low,4,36
1645,2025-10-18 03:00,Saturday,Weekend,Cloudy,None,None,None,Medium,9,53
1646,2025-10-18 03:15,Saturday,Weekend,Clear,None,None,None,Low,1,32
1647,2025-10-18 03:30,Saturday,Weekend,Rainy,None,None,None,Medium,6,44
1648,2025-10-18 03:45,Saturday,Weekend,Clear,None,None,None,Low,4,28
1649,2025-10-18 04:00,Saturday,Weekend,Sunny,None,None,None,Medium,5,65
1650,2025-10-18 04:15,Saturday,Weekend,Cloudy,None,None,None,Low,4,26
1651,2025-10-18 04:30,Saturday,Weekend,Clear,None,None,None,Low,1,26
1652,2025-10-18 04:45,Saturday,Weekend,Light Rain,None,None,None,Low,2,24
1653,2025-10-18 05:00,Saturday,Weekend,Sunny,None,None,None,Low,2,40
1654,2025-10-18 05:15,Saturday,Weekend,Cloudy,None,None,None,Medium,6,45
1655,2025-10-18 05:30,Saturday,Weekend,Light Rain,None,None,None,Low,2,35
1656,2025-10-18 05:45,Saturday,Weekend,Cloudy,None,None,None,Low,0,24
1657,2025-10-18 06:00,Saturday,Weekend,Clear,None,None,None,Medium,10,58
1658,2025-10-18 06:15,Saturday,Weekend,Cloudy,None,None,None,Low,0,33
1659,2025-10-18 06:30,Saturday,Weekend,Clear,None,None,None,Medium,5,63
1660,2025-10-18 06:45,Saturday,Weekend,Rainy,None,None,None,Medium,7,63
1661,2025-10-18 07:00,Saturday,Weekend,Light Rain,None,None,None,Medium,8,46
1662,2025-10-18 07:15,Saturday,Weekend,Clear,None,None,None,Low,2,40
1663,2025-10-18 07:30,Saturday,Weekend,Clear,None,None,None,Low,4,23
1664,2025-10-18 07:45,Saturday,Weekend,Clear,None,None,None,Medium,8,58
1665,2025-10-18 08:00,Saturday,Weekend,Clear,None,None,None,Low,3,21
1666,2025-10-18 08:15,Saturday,Weekend,Cloudy,None,None,None,Medium,5,55
1667,2025-10-18 08:30,Saturday,Weekend,Cloudy,None,None,None,Medium,6,68
1668,2025-10-18 08:45,Saturday,Weekend,Light Rain,None,None,None,Medium,5,64
1669,2025-10-18 09:00,Saturday,Weekend,Sunny,None,None,None,Low,0,33
1670,2025-10-18 09:15,Saturday,Weekend,Clear,None,None,None,Medium,6,50
1671,2025-10-18 09:30,Saturday,Weekend,Clear,None,None,None,Medium,8,45
1672,2025-10-18 09:45,Saturday,Weekend,Light Rain,None,None,None,Low,4,34
1673,2025-10-18 10:00,Saturday,Weekend,Cloudy,None,None,None,High,24,96
1674,2025-10-18 10:15,Saturday,Weekend,Clear,None,None,None,Medium,9,44
1675,2025-10-18 10:30,Saturday,Weekend,Sunny,None,None,None,High,10,101
1676,2025-10-18 10:45,Saturday,Weekend,Clear,None,None,None,High,25,103
1677,2025-10-18 11:00,Saturday,Weekend,Clear,None,None,None,Medium,9,54
1678,2025-10-18 11:15,Saturday,Weekend,Clear,None,None,None,Medium,9,70
1679,2025-10-18 11:30,Saturday,Weekend,Clear,None,None,None,High,24,95
1680,2025-10-18 11:45,Saturday,Weekend,Sunny,None,None,None,High,14,75
1681,2025-10-18 12:00,Saturday,Weekend,Rainy,None,None,None,High,15,119
1682,2025-10-18 12:15,Saturday,Weekend,Light Rain,None,None,None,High,24,88
1683,2025-10-18 12:30,Saturday,Weekend,Clear,None,None,None,High,24,103
1684,2025-10-18 12:45,Saturday,Weekend,Light Rain,None,None,None,Medium,9,57
1685,2025-10-18 13:00,Saturday,Weekend,Clear,None,None,None,High,24,117
1686,2025-10-18 13:15,Saturday,Weekend,Sunny,None,None,None,Medium,8,56
1687,2025-10-18 13:30,Saturday,Weekend,Sunny,None,None,None,Medium,5,46
1688,2025-10-18 13:45,Saturday,Weekend,Rainy,None,None,None,Medium,5,42
1689,2025-10-18 14:00,Saturday,Weekend,Light Rain,None,None,None,Medium,7,57
1690,2025-10-18 14:15,Saturday,Weekend,Sunny,None,None,None,High,10,92
1691,2025-10-18 14:30,Saturday,Weekend,Cloudy,None,None,None,High,18,76
1692,2025-10-18 14:45,Saturday,Weekend,Light Rain,None,None,None,Medium,9,47
1693,2025-10-18 15:00,Saturday,Weekend,Clear,None,None,None,Medium,10,61
1694,2025-10-18 15:15,Saturday,Weekend,Rainy,None,None,None,Medium,6,59
1695,2025-10-18 15:30,Saturday,Weekend,Light Rain,None,None,None,High,12,83
1696,2025-10-18 15:45,Saturday,Weekend,Clear,None,None,None,High,15,82
1697,2025-10-18 16:00,Saturday,Weekend,Clear,None,None,None,High,24,107
1698,2025-10-18 16:15,Saturday,Weekend,Sunny,None,None,None,High,10,115
1699,2025-10-18 16:30,Saturday,Weekend,Light Rain,None,None,None,High,15,85
1700,2025-10-18 16:45,Saturday,Weekend,Clear,None,None,None,Medium,7,48
1701,2025-10-18 17:00,Saturday,Weekend,Rainy,None,None,None,High,20,116
1702,2025-10-18 17:15,Saturday,Weekend,Cloudy,None,None,None,High,21,71
1703,2025-10-18 17:30,Saturday,Weekend,Light Rain,None,None,None,Medium,7,58
1704,2025-10-18 17:45,Saturday,Weekend,Clear,None,None,None,Medium,8,46
1705,2025-10-18 18:00,Saturday,Weekend,Clear,None,None,None,Medium,7,41
1706,2025-10-18 18:15,Saturday,Weekend,Sunny,None,None,None,High,19,92
1707,2025-10-18 18:30,Saturday,Weekend,Clear,None,None,None,Medium,10,58
1708,2025-10-18 18:45,Saturday,Weekend,Rainy,None,None,None,High,24,117
1709,2025-10-18 19:00,Saturday,Weekend,Rainy,None,None,None,High,20,81
1710,2025-10-18 19:15,Saturday,Weekend,Sunny,None,None,None,High,14,107
1711,2025-10-18 19:30,Saturday,Weekend,Cloudy,None,None,None,Medium,8,52
1712,2025-10-18 19:45,Saturday,Weekend,Clear,None,None,None,Medium,8,41
1713,2025-10-18 20:00,Saturday,Weekend,Clear,None,None,None,Medium,9,52
1714,2025-10-18 20:15,Saturday,Weekend,Rainy,None,None,None,High,20,86
1715,2025-10-18 20:30,Saturday,Weekend,Rainy,None,None,None,High,12,91
1716,2025-10-18 20:45,Saturday,Weekend,Clear,None,None,None,Medium,8,50
1717,2025-10-18 21:00,Saturday,Weekend,Clear,None,None,None,Medium,5,66
1718,2025-10-18 21:15,Saturday,Weekend,Clear,None,None,None,High,12,98
1719,2025-10-18 21:30,Saturday,Weekend,Light Rain,None,None,None,Medium,6,54
1720,2025-10-18 21:45,Saturday,Weekend,Sunny,None,None,None,High,14,98
1721,2025-10-18 22:00,Saturday,Weekend,Clear,None,None,None,Medium,8,60
1722,2025-10-18 22:15,Saturday,Weekend,Light Rain,None,None,None,Medium,8,54
1723,2025-10-18 22:30,Saturday,Weekend,Clear,None,None,None,Low,4,29
1724,2025-10-18 22:45,Saturday,Weekend,Cloudy,None,None,None,Low,5,24
1725,2025-10-18 23:00,Saturday,Weekend,Light Rain,None,None,None,Medium,10,61
1726,2025-10-18 23:15,Saturday,Weekend,Cloudy,None,None,None,Medium,5,66
1727,2025-10-18 23:30,Saturday,Weekend,Clear,None,None,None,Low,3,27
1728,2025-10-18 23:45,Saturday,Weekend,Cloudy,None,None,None,Medium,8,55
1729,2025-10-19 00:00,Sunday,Weekend,Cloudy,None,None,None,Medium,8,58
1730,2025-10-19 00:15,Sunday,Weekend,Sunny,None,None,None,Medium,10,53
1731,2025-10-19 00:30,Sunday,Weekend,Light Rain,None,None,None,Medium,6,57
1732,2025-10-19 00:45,Sunday,Weekend,Light Rain,None,None,None,Low,5,31
1733,2025-10-19 01:00,Sunday,Weekend,Cloudy,None,None,None,Low,1,38
1734,2025-10-19 01:15,Sunday,Weekend,Cloudy,None,None,None,Medium,5,54
1735,2025-10-19 01:30,Sunday,Weekend,Clear,None,None,None,Medium,5,62
1736,2025-10-19 01:45,Sunday,Weekend,Light Rain,None,None,None,Medium,5,51
1737,2025-10-19 02:00,Sunday,Weekend,Rainy,None,None,None,Medium,7,63
1738,2025-10-19 02:15,Sunday,Weekend,Clear,None,None,None,Low,3,29
1739,2025-10-19 02:30,Sunday,Weekend,Sunny,None,None,None,Medium,10,65
1740,2025-10-19 02:45,Sunday,Weekend,Clear,None,None,None,Low,0,27
1741,2025-10-19 03:00,Sunday,Weekend,Sunny,None,None,None,Medium,9,45
1742,2025-10-19 03:15,Sunday,Weekend,Clear,None,None,None,Low,0,36
1743,2025-10-19 03:30,Sunday,Weekend,Clear,None,None,None,Low,0,23
1744,2025-10-19 03:45,Sunday,Weekend,Cloudy,None,None,None,Medium,6,53
1745,2025-10-19 04:00,Sunday,Weekend,Clear,None,None,None,Low,5,34
1746,2025-10-19 04:15,Sunday,Weekend,Cloudy,None,None,None,Medium,9,41
1747,2025-10-19 04:30,Sunday,Weekend,Clear,None,None,None,Medium,8,42
1748,2025-10-19 04:45,Sunday,Weekend,Clear,None,None,None,Low,3,38
1749,2025-10-19 05:00,Sunday,Weekend,Light Rain,None,None,None,Low,4,32
1750,2025-10-19 05:15,Sunday,Weekend,Cloudy,None,None,None,Low,5,27
1751,2025-10-19 05:30,Sunday,Weekend,Light Rain,None,None,None,Medium,9,58
1752,2025-10-19 05:45,Sunday,Weekend,Clear,None,None,None,Low,1,29
1753,2025-10-19 06:00,Sunday,Weekend,Clear,None,None,None,Medium,6,54
1754,2025-10-19 06:15,Sunday,Weekend,Light Rain,None,None,None,Low,3,33
1755,2025-10-19 06:30,Sunday,Weekend,Clear,None,None,None,Medium,9,56
1756,2025-10-19 06:45,Sunday,Weekend,Clear,None,None,None,Low,3,34
1757,2025-10-19 07:00,Sunday,Weekend,Clear,None,None,None,Low,0,28
1758,2025-10-19 07:15,Sunday,Weekend,Rainy,None,None,None,Medium,6,52
1759,2025-10-19 07:30,Sunday,Weekend,Cloudy,None,None,None,Medium,10,44
1760,2025-10-19 07:45,Sunday,Weekend,Rainy,None,None,None,Low,0,31
1761,2025-10-19 08:00,Sunday,Weekend,Clear,None,None,None,Medium,7,64
1762,2025-10-19 08:15,Sunday,Weekend,Clear,None,None,None,Medium,9,59
1763,2025-10-19 08:30,Sunday,Weekend,Clear,None,None,None,Medium,8,45
1764,2025-10-19 08:45,Sunday,Weekend,Cloudy,None,None,None,Medium,10,66
1765,2025-10-19 09:00,Sunday,Weekend,Sunny,None,None,None,Low,5,28
1766,2025-10-19 09:15,Sunday,Weekend,Clear,None,None,None,Medium,5,66
1767,2025-10-19 09:30,Sunday,Weekend,Cloudy,None,None,None,Low,0,38
1768,2025-10-19 09:45,Sunday,Weekend,Clear,None,None,None,Low,4,22
1769,2025-10-19 10:00,Sunday,Weekend,Clear,None,None,None,High,20,70
1770,2025-10-19 10:15,Sunday,Weekend,Clear,None,None,None,High,24,96
1771,2025-10-19 10:30,Sunday,Weekend,Cloudy,None,None,None,High,17,116
1772,2025-10-19 10:45,Sunday,Weekend,Clear,None,None,None,Medium,8,64
1773,2025-10-19 11:00,Sunday,Weekend,Cloudy,None,None,None,Medium,7,67
1774,2025-10-19 11:15,Sunday,Weekend,Clear,None,None,None,High,19,73
1775,2025-10-19 11:30,Sunday,Weekend,Light Rain,None,None,None,Medium,8,67
1776,2025-10-19 11:45,Sunday,Weekend,Clear,None,None,None,High,14,73
1777,2025-10-19 12:00,Sunday,Weekend,Light Rain,None,None,None,Medium,6,68
1778,2025-10-19 12:15,Sunday,Weekend,Clear,None,None,None,Medium,6,67
1779,2025-10-19 12:30,Sunday,Weekend,Cloudy,None,None,None,High,16,80
1780,2025-10-19 12:45,Sunday,Weekend,Clear,None,None,None,Medium,7,46
1781,2025-10-19 13:00,Sunday,Weekend,Rainy,None,None,None,High,10,96
1782,2025-10-19 13:15,Sunday,Weekend,Clear,None,None,None,Medium,9,68
1783,2025-10-19 13:30,Sunday,Weekend,Light Rain,None,None,None,High,10,110
1784,2025-10-19 13:45,Sunday,Weekend,Clear,None,None,None,High,21,101
1785,2025-10-19 14:00,Sunday,Weekend,Cloudy,None,None,None,Medium,7,57
1786,2025-10-19 14:15,Sunday,Weekend,Light Rain,None,None,None,High,23,102
1787,2025-10-19 14:30,Sunday,Weekend,Sunny,None,None,None,Medium,7,68
1788,2025-10-19 14:45,Sunday,Weekend,Light Rain,None,None,None,High,17,101
1789,2025-10-19 15:00,Sunday,Weekend,Light Rain,None,None,None,Medium,6,64
1790,2025-10-19 15:15,Sunday,Weekend,Light Rain,None,None,None,Medium,5,54
1791,2025-10-19 15:30,Sunday,Weekend,Clear,None,None,None,High,13,112
1792,2025-10-19 15:45,Sunday,Weekend,Light Rain,None,None,None,High,10,87
1793,2025-10-19 16:00,Sunday,Weekend,Clear,None,None,None,High,21,77
1794,2025-10-19 16:15,Sunday,Weekend,Clear,None,None,None,Medium,8,54
1795,2025-10-19 16:30,Sunday,Weekend,Light Rain,None,None,None,Medium,6,62
1796,2025-10-19 16:45,Sunday,Weekend,Clear,None,None,None,Medium,9,51
1797,2025-10-19 17:00,Sunday,Weekend,Clear,None,None,None,Medium,8,48
1798,2025-10-19 17:15,Sunday,Weekend,Light Rain,None,None,None,High,19,75
1799,2025-10-19 17:30,Sunday,Weekend,Rainy,None,None,None,High,14,106
1800,2025-10-19 17:45,Sunday,Weekend,Cloudy,None,None,None,High,20,102
1801,2025-10-19 18:00,Sunday,Weekend,Cloudy,None,None,None,High,25,76
1802,2025-10-19 18:15,Sunday,Weekend,Sunny,None,None,None,Medium,6,54
1803,2025-10-19 18:30,Sunday,Weekend,Clear,None,None,None,High,21,95
1804,2025-10-19 18:45,Sunday,Weekend,Cloudy,None,None,None,Medium,9,69
1805,2025-10-19 19:00,Sunday,Weekend,Sunny,None,None,None,Medium,8,50
1806,2025-10-19 19:15,Sunday,Weekend,Clear,None,None,None,High,18,91
1807,2025-10-19 19:30,Sunday,Weekend,Clear,None,None,None,Medium,5,70
1808,2025-10-19 19:45,Sunday,Weekend,Clear,None,None,None,Medium,10,41
1809,2025-10-19 20:00,Sunday,Weekend,Rainy,None,None,None,Medium,7,67
1810,2025-10-19 20:15,Sunday,Weekend,Clear,None,None,None,Medium,9,54
1811,2025-10-19 20:30,Sunday,Weekend,Clear,None,None,None,Medium,5,60
1812,2025-10-19 20:45,Sunday,Weekend,Light Rain,None,None,None,Medium,6,62
1813,2025-10-19 21:00,Sunday,Weekend,Light Rain,None,None,None,High,16,94
1814,2025-10-19 21:15,Sunday,Weekend,Clear,None,None,None,Medium,10,52
1815,2025-10-19 21:30,Sunday,Weekend,Cloudy,None,None,None,High,20,93
1816,2025-10-19 21:45,Sunday,Weekend,Light Rain,None,None,None,High,14,82
1817,2025-10-19 22:00,Sunday,Weekend,Clear,None,None,None,Low,3,23
